Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
41,26,CC(O1)(C)CCCC1=O,"H20, H21",C7,1,0,FALSE,90.26265,0.23277,0.125718,0.194431,0.042471,-6.5552,-6.5552,-6.5552,-6.5552,0.181792,1.730328336,1.730328336,1.730328336,1.730328336,34.08477072,73.23777873,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.7227,1.0209,61.13649183,0,0,0,0,0,0,0,0,1,1,0,0
42,26,CC(O1)(C)CCCC1=O,"H18, H19",C6,1,64,TRUE,95.75617,0.2129,0.119191,0.165566,0.031397,-5.67,-5.67,-5.67,-5.67,-0.042808,1.025669887,1.025669887,1.025669887,1.025669887,29.69999093,72.85100339,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.2643,2.8888,70.57416034,0,0,0,0,0,0,0,0,1,1,0,0
42,26,CC(O1)(C)CCCC1=O,H10-H15,C1,1,0,FALSE,99.740166,0.22158,0.1321,0.163402,0.033759,-6.5169,-6.5169,-6.5169,-6.5169,0.098434,1.390890135,1.390890135,1.390890135,1.390890135,29.10638981,64.26155635,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,3.1112,2.0419,70.57416034,0,0,0,0,0,0,0,0,1,1,0,0
42,26,CC(O1)(C)CCCC1=O,"H16, H17",C5,1,0,FALSE,97.625916,0.20626,0.111184,0.186154,0.026807,-5.7717,-5.7717,-5.7717,-5.7717,-0.037141,1.112431886,1.112431886,1.112431886,1.112431886,40.46190725,75.30789229,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.366,2.7871,70.57416034,0,0,0,0,0,0,0,0,1,1,0,0
42,26,CC(O1)(C)CCCC1=O,"H20, H21",C7,1,0,FALSE,90.26265,0.23277,0.125718,0.194431,0.042471,-6.5552,-6.5552,-6.5552,-6.5552,0.181792,1.730328336,1.730328336,1.730328336,1.730328336,34.08477072,73.23777873,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,3.1495,2.0036,70.57416034,0,0,0,0,0,0,0,0,1,1,0,0
43,27,O=C1CC(C)(C)CCC1,"H20, H21",C8,1,50,TRUE,96.386375,0.20968,0.114135,0.164283,0.02802,-5.4726,-5.4065,-5.4065,-5.40813945,-0.04989,1.003175169,1.051827342,1.050902307,1.051420137,30.07202334,73.64536765,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.00243945,3.15066055,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
43,27,O=C1CC(C)(C)CCC1,"H10, H11",C3,1,0,FALSE,90.7963,0.22284,0.117499,0.195267,0.032838,-6.3935,-6.3934,-6.3935,-6.393475253,0.024248,1.763480066,1.764233652,1.763480066,1.763898265,41.62622994,76.92665309,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.987775253,2.165324747,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
43,27,O=C1CC(C)(C)CCC1,H12-H17,C5,1,0,FALSE,100.63673,0.20953,0.133463,0.1623,0.024885,-5.9542,-5.8972,-5.9012,-5.899250155,-0.069322,1.146062195,1.179815584,1.175838101,1.177793964,39.91063875,67.42988203,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.493550155,2.659549845,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
43,27,O=C1CC(C)(C)CCC1,"H18, H19",C7,1,0,FALSE,97.90108,0.21044,0.112226,0.177672,0.024648,-5.5645,-5.3891,-5.5635,-5.50659295,-0.038348,0.98537692,1.072108206,1.072108206,1.043646794,38.37427351,76.20189484,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.10089295,3.05220705,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
43,27,O=C1CC(C)(C)CCC1,"H22, H23",C9,1,0,FALSE,89.3007,0.21839,0.110831,0.188007,0.034273,-6.4316,-6.4043,-6.4044,-6.404372979,0.034055,1.744717734,1.752933381,1.74486067,1.744833664,35.44616331,73.3497752,11,C3,N#C/C=C/C#N,-3.4057,-8.5588,2.998672979,2.154427021,70.57416034,0,0,0,0,0,0,0,0,1,0,1,0
