Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Shellbur H,Shellbur radical,All SOMOS,SOMO energies,All electrophilicities,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
57,33,CCCC#N,"H11, H12",C3,2,0,FALSE,92.105034,0.24145,0.139878,0.19249,0.053202,-6.5543,-6.4772,-6.4772,-6.507042944,0.063389,1.673183194,1.737919417,1.673183194,1.698132667,31.219085,70.53585427,14.38567005,38.66775922,"[-6.4772, -6.5543, -6.5541, -6.4774]","[-210.62900737868702, -210.628590069863, -210.62855070897402, -210.629004218257]","[1.673183194249972, 1.7373921314245977, 1.737919417137708, 1.6732349749792983]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.543842944,1.118057056,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,"H11, H12",C5,2,71,TRUE,97.500404,0.20932,0.128359,0.173011,0.026567,-5.7535,-5.5296,-5.6847,-5.623999384,-0.072994,1.006423897,1.108354282,1.071912213,1.052460389,37.31924285,71.24436372,19.24577273,41.76036859,"[-5.5504, -5.6847, -5.6372, -5.7535, -5.5296, -5.64]","[-249.89698810672903, -249.897033939238, -249.89650111006202, -249.89631420891902, -249.896712954832, -249.89645555868]","[1.0064238972173842, 1.0719122134233006, 1.0652640807615055, 1.1083542820050447, 1.0294072046437999, 1.0662073378871955]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.660799384,2.001100616,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,"H7, H8",C3,2,0,FALSE,91.98522,0.2423,0.141935,0.192992,0.051815,-6.5135,-6.4602,-6.4602,-6.496424272,-0.025013,1.67585272,1.73874346,1.67585272,1.711056401,31.07843974,70.56640098,14.95030642,38.80493383,"[-6.4602, -6.5056, -6.5024, -6.5102, -6.5103, -6.5135]","[-249.906605314274, -249.90626074363502, -249.90612541697, -249.906084936093, -249.90612620924097, -249.90609696641098]","[1.6758527203394913, 1.7221301237207178, 1.7031780335713154, 1.7387434599614393, 1.738622852924462, 1.7105474210968437]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.533224272,1.128675728,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,"H9, H10",C4,2,0,FALSE,98.65742,0.20432,0.109585,0.168386,0.029769,-6.05,-5.8763,-5.8955,-5.926175146,-0.036213,1.133005204,1.210684026,1.141565607,1.158172683,32.93249566,72.86828728,16.19341913,45.39780249,"[-6.05, -5.8955, -5.8763, -5.9387, -5.9664, -5.8808]","[-249.894415024283, -249.89547996689, -249.89391059980798, -249.894117828108, -249.89375509404297, -249.893991414782]","[1.210684026075546, 1.1415656074711775, 1.133005204489305, 1.178478650520654, 1.184864522554122, 1.1353841616753284]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.962975146,1.698924854,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
58,34,N#CCCCC,H13-H15,C6,2,0,FALSE,100.078285,0.21137,0.122388,0.141462,0.028486,-6.1101,-5.7261,-5.9986,-6.014163621,0.053538,1.065365263,1.228374102,1.17436601,1.184405314,21.38311268,61.61674114,7.794799771,27.28116657,"[-5.9557, -6.0775, -5.9992, -6.1101, -5.7261, -5.9986]","[-249.889770255752, -249.890370124731, -249.891075628252, -249.89063708467302, -249.889309621016, -249.89111814404697]","[1.1595516895423355, 1.2211859083608305, 1.1744278262245598, 1.2283741018738752, 1.0653652625444672, 1.1743660104729772]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.050963621,1.610936379,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
59,35,CC(C)CC#N,H10,C2,2,79,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.05233057,38.68951091,82.05481261,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.629760739,2.032139261,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
59,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.275271149,26.68891492,62.42368698,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.208276719,1.453623281,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
59,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.05233057,35.55727256,72.75599354,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.530374663,1.131525337,71.91406126,0,0,0,0,0,0,0,1,0,0,0,1
60,35,CC(C)CC#N,H10,C2,2,82,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.275271149,38.68951091,82.05481261,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,3.734960739,1.929139261,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
60,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.05233057,26.68891492,62.42368698,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.313476719,1.350623281,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
